agera,agerar,agerade,agerat,действовать,act
hänvisa,hänvisar,hänvisade,hänvisat,ссылаться,refer
hävda,hävdar,hävdade,hävdat,утверждать,assert
hålla,håller,höll,hållit,держать,hold
höja,höjer,höjde,höjt,поднимать,raise
höra,hör,hörde,hört,слышать,hear
ifrågasätta,ifrågasätter,ifrågasatte,ifrågasatt,ставить под сомнение,question
införa,inför,införde,infört,ввозить,bring in
ingå,ingår,ingick,ingått,входить в состав,enter into
inleda,inleder,inledde,inlett,инициировать,initiate
innebära,innebär,innebar,inneburit,означать,imply
innehålla,innehåller,innehöll,innehållit,содержать,contain
inse,inser,insåg,insett,осознавать,realize
inträffa,inträffa,inträffade,inträffat,происходить,occur
jobba,jobbar,jobbade,jobbat,работать,work
jämföra,jämför,jämförde,jämfört,сравнивать,compare
kalla,kallar,kallade,kallat,звать,call
kapa,kapar,kapade,kapat,угонять,hijack
kasta,kastar,kastade,kastat,бросать,throw
klara,klarar,klarade,klarat,справляться,get done
klicka,klickar,klickade,klickat,нажимать,click
knyta,knyter,knöt,knutit,завязывать,tie
kolla,kollar,kollade,kollat,проверять,check
komma,kommer,kom,kommit,приходить,come
konstatera,konstaterar,konstaterade,konstaterat,констатировать,state
kontrollera,kontrollerar,kontrollerade,kontrollerat,проверять,check
kosta,kostar,kostade,kostat,стоить,cost
krypa,kryper,kröp,krupit,ползти,crawl
kräva,kräver,krävde,krävt,требовать,demand
kunna,kan,kunde,kunnat,мочь,be able to
kämpa,kämpar,kämpade,kämpat,бороться,struggle
känna,känner,kände,känt,чувствовать,feel
köpa,köper,köpte,köpt,покупать,buy
köra,kör,körde,kört,вести машину,drive
ladda,laddar,laddade,laddat,заряжать,charge
laga,lagar,lagade,lagat,чинить,repair
le,ler,log,lett,улыбаться,smile
leda,leder,ledde,lett,вести,lead
leta,letar,letade,letat,искать,look for
leva,lever,levde,levt,жить,live
lida,lider,led,lidit,страдать,suffer
ligga,ligger,låg,legat,лежать,lie
ljuga,ljuger,ljög,ljugit,лгать,lie
locka,lockar,lockade,lockat,привлекать,entice
lova,lovar,lovade,lovat,обещать,promise
luta,lutar,lutade,lutat,наклоняться,lean
lyckas,lyckas,lyckades,lyckats,добиваться успеха,succeed
lyda,lyder,lydde,lytt,подчиняться,obey
lyfta,lyfter,lyfte,lyft,поднимать,lift
lyssna,lyssnar,lyssnade,lyssnat,слушать,listen
lägga,lägger,lade,lagt,класть,lay
lämna,lämnar,lämnade,lämnat,оставлять,leave
länka,länkar,länkade,länkat,соединять,link
lära,lär,lärde,lärt,учить,teach
läsa,läser,läste,läst,читать,read
låna,lånar,lånade,lånat,одалживать,borrow
låta,låter,lät,låtit,разрешать,let
löpa,löper,löpte,löpt,бежать,run
lösa,löser,löste,löst,решать,solve
mana,manar,manade,manat,призывать,exhort
meddela,meddelar,meddelade,meddelat,сообщать,inform
medföra,medför,medförde,medfört,приносить,bring
mena,menar,menade,menat,иметь в виду,mean
minnas,minns,mindes,mints,помнить,remember
minska,minskar,minskade,minskat,уменьшать,reduce
missa,missar,missade,missat,пропускать,miss
motsätta sig,motsätter,motsatte,motsatt,противиться,oppose
märka,märker,märkte,märkt,замечать,notice
må,mår,mådde,mått,чувствовать,feel
möta,möter,mötte,mött,встречать,meet
njuta,njuter,njöt,njutit,наслаждаться,enjoy
notera,noterar,noterade,noterat,записывать,note
nyttja,nyttjar,nyttjade,nyttjat,употреблять,consume
nämna,nämner,nämnde,nämnt,упоминать,mention
nå,når,nådde,nått,доставать,reach
omfatta,omfattar,omfattade,omfattat,включать в себя,include
orka,orkar,orkade,orkat,быть в состоянии,have the energy to
oroa,oroar,oroade,oroat,беспокоить,worry
orsaka,orsakar,orsakade,orsakat,быть причиной,cause
para,parar,parade,parat,объединять,couple
passa,passar,passade,passat,соответствовать,suit
passera,passerar,passerade,passerat,проходить,pass by
peka,pekar,pekade,pekat,показывать на,point
plocka,plockar,plockade,plockat,собирать,pick
plugga,pluggar,pluggade,pluggat,зубрить,cram
prata,pratar,pratade,pratat,разговаривать,talk
presentera,presenterar,presenterade,presenterat,представлять,introduce
prova,provar,provade,provat,пробовать,try out
pröva,prövar,prövade,prövat,проверять,test
pågå,pågår,pågick,pågått,продолжаться,go on
påminna,påminner,påminde,påmint,напоминать,remind
påpeka,påpekar,påpekade,påpekat,отмечать,point out
påstå,påstår,påstod,påstått,утверждать,state
påverka,påverkar,påverkade,påverkat,влиять,influence
redovisa,redovisar,redovisade,redovisat,отчитываться,account for
resa,reser,reste,rest,путешествовать,travel
rida,rider,red,ridit,ехать верхом,ride
rikta,riktar,riktade,riktat,направлять,direct
ringa,ringer,ringde,ringt,звонить,ring
rinna,rinner,rann,runnit,течь,flow
rita,ritar,ritade,ritat,рисовать,draw
riva,river,rev,rivit,царапать,scratch
ro,ror,rodde,rott,грести,row
rycka,rycker,ryckte,ryckt,дергать,lug
ryka,ryker,rök,rykt,дымиться,smoke
räcka,räcker,räckte,räckt,быть достаточным,be enough
rädda,räddar,räddade,räddat,спасать,rescue
räkna,räknar,räknade,räknat,считать,count
rätta,rättar,rättade,rättat,исправлять,correct
råda,råder,rådde,rått,советовать,advise
råka,råkar,råkade,råkat,случайно встречать,happen to meet
röra,rör,rörde,rört,трогать,touch
rösta,röstar,röstade,röstat,голосовать,vote
sakna,saknar,saknade,saknat,скучать,miss
samla,samlar,samlade,samlat,собирать,collect
satsa,satsar,satsade,satsat,вкладываться,stake
se,ser,såg,sett,видеть,see
sikta,siktar,siktade,siktat,целиться,aim
simma,simmar,simmade,simmat,плавать,swim
sitta,sitter,satt,suttit,сидеть,sit
sjuda,sjuder,sjöd,sjudit,кипятить на медленном огне,simmer
sjunga,sjunger,sjöng,sjungit,петь,sing
sjunka,sjunker,sjönk,sjunkit,тонуть,sink
skada,skadar,skadade,skadat,повреждать,damage
skaffa,skaffar,skaffade,skaffat,доставать,acquire
skapa,skapar,skapade,skapat,создавать,create
ske,sker,skedde,skett,иметь место,take place
skicka,skickar,skickade,skickat,посылать,send
skilja,skiljer,skilde,skilt,различать,separate
skina,skiner,sken,skinit,светить,shine
skita,skiter,sket,skitit,срать,shit
skjuta,skjuter,sköt,skjutit,стрелять,shoot
skola,ska,skulle,skolat,намереваться,shall
skratta,skrattar,skrattade,skrattat,смеяться,laugh
skrika,skriker,skrek,skrikit,кричать,scream
skriva,skriver,skrev,skrivit,писать,write
skryta,skryter,skröt,skrutit,хвастать,boast
skydda,skyddar,skyddade,skyddat,защищать,protect
skynda,skyndar,skyndade,skyndat,торопиться,hurry
skämta,skämtar,skämtade,skämtat,шутить,joke
skära,skär,skar,skurit,резать,cut
sköta,sköter,skötte,skött,заботиться,look after
slippa,slipper,slapp,sluppit,избегать,be spared
slita,sliter,slet,slitit,изнашивать,wear out
sluta,slutar,slutade,slutat,заканчивать,finish
släppa,släpper,släppte,släppt,отпускать,let go
slå,slår,slog,slagit,ударять,strike
smyga,smyger,smög,smugit,красться,sneak
smörja,smörjer,smorde,smort,мазать,grease
snyta,snyter,snöt,snutit,сморкаться,blow one's nose
sova,sover,sov,sovit,спать,sleep
spara,sparar,sparade,sparat,сберегать,save
spela,spelar,spelade,spelat,играть,play
spinna,spinner,spann,spunnit,прясть,spin
spricka,spricker,sprack,spruckit,трескаться,crack
sprida,sprider,spred,spritt,распространяться,spread
springa,springer,sprang,sprungit,бежать,run
spåra,spårar,spårade,spårat,следовать,track
stanna,stannar,stannade,stannat,останавливаться,stop
starta,startar,startade,startat,стартовать,start
sticka,sticker,stack,stuckit,колоть,prick
stiga,stiger,steg,stigit,подниматься,rise
stjäla,stjäl,stal,stulit,красть,steal
stoppa,stoppar,stoppade,stoppat,останавливать,stop
strida,strider,stred,stridit,сражаться,fight
strunta,struntar,struntade,struntat,игнорировать,ignore
stryka,stryker,strök,strukit,гладить,stroke
studera,studerar,studerade,studerat,учиться,study
styra,styr,styrde,styrt,направлять,govern
ställa,ställer,ställde,ställt,ставить,put
stämma,stämmer,stämde,stämt,настраивать,tune
stänga,stänger,stängde,stängt,закрывать,close
stärka,stärker,stärkte,stärkt,усиливать,strengthen
stå,står,stod,stått,стоять,stand
stödja,stöder,stödde,stött,поддерживать,support
störa,stör,störde,stört,мешать,disturb
suga,suger,sög,sugit,сосать,suck
supa,super,söp,supit,пьянствовать,booze
svara,svarar,svarade,svarat,отвечать,answer
svika,sviker,svek,svikit,предавать,betray
svälta,svälter,svalt,svultit,голодать,starve
svära,svär,svor,svurit,клясться,swear
syfta,syftar,syftade,syftat,быть направленным,refer
synas,syns,syntes,synts,быть видимым,be seen
säga,säger,sade,sagt,говорить,say
sälja,säljer,sålde,sålt,продавать,sell
sända,sänder,sände,sänt,транслировать,broadcast
sänka,sänker,sänkte,sänkt,опускать,lower
sätta,sätter,satte,satt,класть,set
söka,söker,sökte,sökt,искать,seek
sörja,sörjer,sörjde,sörjt,оплакивать,mourn
ta,tar,tog,tagit,брать,take
tacka,tackar,tackade,tackat,благодарить,thank
tala,talar,talade,talat,говорить,speak
tappa,tappar,tappade,tappat,ронять,drop
te sig,ter,tedde,tett,казаться,appear
tiga,tiger,teg,tigit,молчать,keep silent
tillhöra,tillhör,tillhörde,tillhört,принадлежать,belong
tillämpa,tillämpar,tillämpade,tillämpat,применять,apply
tillåta,tillåter,tillät,tillåtit,позволять,allow
titta,tittar,tittade,tittat,смотреть,watch
tjäna,tjänar,tjänade,tjänat,зарабатывать,earn
tolka,tolkar,tolkade,tolkat,переводить,interpret
toppa,toppar,toppade,toppat,быть наверху,top
trivas,trivs,trivdes,trivts,быть довольным,enjoy
tro,tror,trodde,trott,верить,believe
trycka,trycker,tryckte,tryckt,нажимать,press
trygga,tryggar,tryggade,tryggat,обеспечивать,secure
träffa,träffar,träffade,träffat,встречать,meet
träna,tränar,tränade,tränat,тренировать,train
tvinga,tvingar,tvingade,tvingat,принуждать,force
tvätta,tvättar,tvättade,tvättat,мыть,wash
tycka,tycker,tyckte,tyckt,полагать,think
tyckas,tycks,tycktes,tyckts,казаться,seem
tyda,tyder,tydde,tytt,расшифровывать,interpret
täcka,täcker,täckte,täckt,покрывать,cover
tänka,tänker,tänkte,tänkt,думать,think
umgås,umgås,umgicks,umgåtts,общаться,socialize
undersöka,undersöker,undersökte,undersökt,исследовать,investigate
undervisa,undervisar,undervisade,undervisat,преподавать,teach
undra,undrar,undrade,undrat,интересоваться,wonder
undvika,undviker,undvek,undvikit,избегать,avoid
unna,unnar,unnade,unnat,позволять,willingly let
uppbära,uppbär,uppbar,uppburit,получать платеж,regularly collect
uppfatta,uppfattar,uppfattade,uppfattat,распознавать,perceive
uppfylla,uppfyller,uppfyllde,uppfyllt,исполнять,fulfil
upphöra,upphör,upphörde,upphört,прекращаться,cease
uppleva,upplever,upplevde,upplevt,испытывать,experience
uppmana,uppmanar,uppmanade,uppmanat,призывать,urge
uppnå,uppnår,uppnådde,uppnått,достигать,achieve
uppstå,uppstår,uppstod,uppstått,возникать,arise
upptäcka,upptäcker,upptäckte,upptäckt,обнаруживать,discover
utföra,utför,utförde,utfört,выполнять,perform
utgå,utgår,utgick,utgått,исходить,assume
utgöra,utgör,utgjorde,utgjort,составлять,constitute
utnyttja,utnyttjar,utnyttjade,utnyttjat,воспользоваться,use up
utsätta,utsätter,utsatte,utsatt,подвергать,subject to
uttala,uttalar,uttalade,uttalat,произносить,pronounce
uttrycka,uttrycker,uttryckte,uttryckt,выражать,express
utveckla,utvecklar,utvecklade,utvecklat,развивать,develop
vakna,vaknar,vaknade,vaknat,пробуждаться,wake up
vara,är,var,varit,быть,be
verka,verkar,verkade,verkat,казаться,seem
veta,vet,visste,vetat,знать,know
vidta,vidtar,vidtog,vidtagit,предпринимать,undertake
vika,viker,vek,vikit,сгибать,fold
vila,vilar,vilade,vilat,отдыхать,rest
vilja,vill,ville,velat,хотеть,want
vinna,vinner,vann,vunnit,выигрывать,win
